title,n_enrolled,course_type,institution,instructors,Level,subject,language,course_length_weeks,  price  ,Average_Course_effort_per_week
Teaching Critical Thinking through Art with the National Gallery of Art,18595,Self-paced on your time,The Smithsonian Institution,Julie Carmean,Introductory,Education & Teacher Training,English,16,  £25.00  ,3.5
Teaching & Learning in the Diverse Classroom,7104,Instructor-led on a course schedule,Cornell University,Mathew L. Ouellett-Melina Ivanchikova,Introductory,Education & Teacher Training,English,5,  £99.00  ,3
"Tangible Things: Discovering History Through Artworks, Artifacts, Scientific Specimens, and the Stuff Around You",61139,Self-paced on your time,Harvard University,Sarah Carter-Ivan Gaskell-Sara Schechner-Laurel Thatcher Ulrich,Introductory,Humanities,English,10,  £49.00  ,2
TOEFL¬Æ Test Preparation: The Insider‚Äôs Guide,1022489,Self-paced on your time,Educational Testing Service,Michael Knab-Cynthia Newman-Shawn Gorman-Molly Palmer,Introductory,Communication,English,6,  £49.00  ,3
System Dynamics for Health Sciences,15157,Self-paced on your time,Wits University,David Rubin-Tak Igusa-Robyn Letts,Intermediate,Medicine,English,9,  £139.00  ,3
Sustainable Urban Freight Transport: A Global Perspective,7769,Self-paced on your time,Delft University of Technology,L√≥r√°nt Tavasszy-Ron van Duin-Tharsis Teoh-Eiichi Taniguchi,Introductory,Engineering,English,5,  £50.00  ,5
Sustainable Urban Development,45760,Self-paced on your time,Delft University of Technology-Wageningen University & Research-Delft University & Wageningen University,Arjan van Timmeren-Huub H.M. Rijnaarts-Mariette Overschie-Marc Spiller,Introductory,Social Sciences,English,7,  £50.00  ,5
Sustainable Packaging in a Circular Economy,6277,Self-paced on your time,Delft University of Technology,Conny Bakker-Ruud Balkenende-Janne de Hoop-Jos Vlugter,Intermediate,Design,English,6,  £50.00  ,3.5
Sustainable Food Systems: A Mediterranean Perspective,6480,Self-paced on your time,SDG Academy,Jeffrey D. Sachs-Alessio Cavicchi-Sonia Massari-Stefano Pascucci,Intermediate,Food & Nutrition,English,10,  £49.00  ,3
Sustainable Food Security: The value of systems thinking,26600,Self-paced on your time,Wageningen University & Research,Gerrie van de Ven-I.J.M. de Boer-Carolien Kroeze-Eddie Bokkers,Introductory,Biology & Life Sciences,English,6,  £49.00  ,9
Sustainable Food Security: Food Access,18943,Self-paced on your time,Wageningen University & Research,Marrit van den Berg-Hilde Bras-Jeroen Candel-Jessica Duncan,Introductory,Social Sciences,English,6,  £49.00  ,7
Sustainable Food Security: Crop Production,35367,Self-paced on your time,Wageningen University & Research,Ken Giller-‚ÄãHarrie Lovenstein-Gerrie van de Ven,Intermediate,Biology & Life Sciences,English,6,  £49.00  ,7
Sustainable Energy,0,Instructor-led on a course schedule,Massachusetts Institute of Technology,Michael Golay,Advanced,Energy & Earth Sciences,English,13,  £149.00  ,10
Sustainable Development: The Post-Capitalist Order,7031,Self-paced on your time,SDG Academy,Jeffrey D. Sachs,Introductory,Economics & Finance,English,8,  £49.00  ,3
Sustainable Cities,16619,Self-paced on your time,SDG Academy,Aromar Revi-Joshua Castellino-Jeffrey D. Sachs-Susan Parnell,Intermediate,Environmental Studies,English,9,  £49.00  ,5
Sustainability in Architecture: An Interdisciplinary Introduction,31352,Self-paced on your time,Universitat Polit√®cnica de Valencia,Mar√≠a Valles-Planells-Elena de la Poza-Plaza-Naoko Ellis-Kas Hemmes,Intermediate,Architecture,English,4,  £50.00  ,3.5
Supply Chain Dynamics,75464,Instructor-led on a course schedule,Massachusetts Institute of Technology,Chris Caplice-Yossi Sheffi-Bruce Arntzen-Alexis Bateman,Advanced,Business & Management,English,13,  £299.00  ,10
Supply Chain Analytics,145049,Instructor-led on a course schedule,Massachusetts Institute of Technology,Chris Caplice,Introductory,Business & Management,English,15,  £199.00  ,10
Successful Negotiation: Essential Strategies and Skills,31369,Self-paced on your time,The University of Michigan,George Siedel,Introductory,Business & Management,English,7,  £49.00  ,3
Success: Practical Thinking Skills,24414,Self-paced on your time,The Hong Kong Polytechnic University,Jack Chun,Introductory,Philosophy & Ethics,English,4,  £50.00  ,5
StudioX: Creating a Course with edX Studio,20355,Self-paced on your time,edX,Nina Huntemann-Ben Piscopo,Introductory,Education & Teacher Training,English,3,  £99.00  ,5
Structure of Materials,13042,Self-paced on your time,Massachusetts Institute of Technology,Silvija Gradeƒçak-Jessica Sandland,Intermediate,Engineering,English,16,  £150.00  ,7
Structural Materials: Selection and Economics,9752,Self-paced on your time,Massachusetts Institute of Technology,Thomas Eagar-Jessica Sandland,Introductory,Engineering,English,3,  £50.00  ,2.5
Strengthening Community Health Worker Programs,58626,Self-paced on your time,Harvard University,Rajesh Ramesh Panjabi,Introductory,Health & Safety,English,6,  £79.00  ,3
Strategic Social Media Marketing,103640,Instructor-led on a course schedule,Boston University,Barbara Bickart,Advanced,Business & Management,English,6,  £399.00  ,5
Strategic Management,71085,Self-paced on your time,Indian Institute of Management Bangalore,P D Jose-Rejie George Pallathita-Sai Yayavaram,Introductory,Business & Management,English,5,  £150.00  ,4
Strategic Leadership in Healthcare,6237,Self-paced on your time,Doane University,Helen Abdali Soosan Fagan,Intermediate,Business & Management,English,5,  £199.00  ,7.5
Strategic Applications of IT Project & Program Management,17914,Self-paced on your time,University of Washington,Debra Hildebrand,Introductory,Business & Management,English,6,  £199.00  ,3.5
Strategic Account Management,0,Self-paced on your time,Queen‚Äôs University,Jim Hamilton-Michael Cant,Introductory,Business & Management,English,6,  £149.00  ,5
Storytelling in the Workplace,0,Self-paced on your time,Rochester Institute of Technology,Ammina Kothari,Introductory,Communication,English,3,  £199.00  ,5
Storytelling for Social Change,30313,Self-paced on your time,The University of Michigan,Anita Gonzalez,Introductory,Communication,English,5,  £49.00  ,2
Steps in Japanese for Beginners2 Part1,0,Self-paced on your time,Waseda University,Naoko Kinoshita-Yukiyo HAMAKAWA,Introductory,Language,English,5,  £99.00  ,4
Steps in Japanese for Beginners1 Part3,6169,Self-paced on your time,Waseda University,Naoko Kinoshita-Kaori Sano-Yukiyo HAMAKAWA,Introductory,Language,English,5,  £99.00  ,4
Steps in Japanese for Beginners1 Part2,8080,Self-paced on your time,Waseda University,Naoko Kinoshita,Introductory,Language,English,5,  £99.00  ,4
Steps in Japanese for Beginners1 Part1,53630,Self-paced on your time,Waseda University,Naoko Kinoshita,Introductory,Language,English,5,  £49.00  ,4
Statistics and R,314586,Self-paced on your time,Harvard University,Rafael Irizarry-Michael Love,Intermediate,Data Analysis & Statistics,English,4,  £249.00  ,3
Statistical Thinking for Data Science and Analytics,198861,Self-paced on your time,Columbia University,Andrew Gelman-David Madigan-Lauren Hannah-Eva Ascarza,Introductory,Computer Science,English,5,  £99.00  ,8.5
Statistical Learning,27968,Self-paced on your time,Stanford University,Trevor Hastie-Robert Tibshirani,Introductory,Data Analysis & Statistics,English,9,  £50.00  ,4
